datetime,open,high,low,close,volume,close_time,asset_volume,trade_number,taker_buy_base,taker_buy_quote
2020-09-22 05:00:00,294.08000000,294.08000000,292.42000000,292.42000000,4.98242000,1600747199999,1462.17760860,6,1.45446000,425.42037940
2020-09-22 06:00:00,294.14000000,296.01000000,293.63000000,293.63000000,22.18529000,1600750799999,6531.67483870,54,16.79511000,4945.34765870
2020-09-22 07:00:00,293.91000000,295.17000000,293.55000000,293.88000000,45.33587000,1600754399999,13343.36429110,54,15.43458000,4550.36712990
2020-09-22 08:00:00,294.60000000,295.86000000,291.82000000,292.59000000,105.08150000,1600757999999,30772.25585420,94,54.71967000,16038.33957980
2020-09-22 09:00:00,293.93000000,293.93000000,287.76000000,288.21000000,216.50933000,1600761599999,62717.87135340,192,140.92630000,40852.63777380
2020-09-22 10:00:00,289.00000000,292.73000000,288.49000000,292.49000000,152.67410000,1600765199999,44411.34161080,157,46.63333000,13568.26263090
2020-09-22 11:00:00,293.12000000,293.42000000,290.50000000,290.50000000,65.78829000,1600768799999,19217.20508670,102,26.31897000,7693.32066180
2020-09-22 12:00:00,291.44000000,292.78000000,290.50000000,291.85000000,114.22496000,1600772399999,33304.91924680,76,46.51416000,13585.15276790
2020-09-22 13:00:00,292.47000000,292.90000000,290.31000000,290.31000000,92.06766000,1600775999999,26904.52046670,98,86.62879000,25320.20298810
2020-09-22 14:00:00,290.49000000,293.14000000,288.56000000,292.44000000,56.54086000,1600779599999,16441.07975360,90,36.33432000,10575.34795740
2020-09-22 15:00:00,293.38000000,294.81000000,292.00000000,292.00000000,132.92483000,1600783199999,39080.69027520,127,107.92752000,31748.38564580
2020-09-22 16:00:00,292.00000000,294.70000000,291.92000000,291.93000000,62.70563000,1600786799999,18393.21882100,101,32.73387000,9623.09998170
2020-09-22 17:00:00,291.93000000,294.21000000,291.00000000,293.18000000,66.33101000,1600790399999,19415.25895200,91,39.58303000,11616.73355360
2020-09-22 18:00:00,293.38000000,294.90000000,292.65000000,292.84000000,57.14570000,1600793999999,16804.68000320,87,45.33730000,13335.04152560
2020-09-22 19:00:00,293.03000000,295.06000000,293.03000000,294.66000000,96.05524000,1600797599999,28214.19314610,96,92.97114000,27307.41059190
2020-09-22 20:00:00,295.65000000,295.77000000,293.71000000,294.96000000,34.19423000,1600801199999,10074.17386760,70,10.89057000,3215.66065540
2020-09-22 21:00:00,295.02000000,295.34000000,294.00000000,295.30000000,42.33781000,1600804799999,12479.81273750,71,24.64937000,7266.99253110
2020-09-22 22:00:00,295.49000000,296.80000000,294.70000000,296.22000000,70.97460000,1600808399999,20987.41101440,102,48.27435000,14265.41744180
2020-09-22 23:00:00,296.17000000,297.18000000,292.81000000,297.10000000,88.01190000,1600811999999,26103.44421060,115,69.93651000,20754.43446670
2020-09-23 00:00:00,297.34000000,297.53000000,295.03000000,295.31000000,145.03254000,1600815599999,42963.12546170,78,73.78009000,21845.90951210
2020-09-23 01:00:00,295.31000000,295.79000000,294.32000000,294.68000000,9.10433000,1600819199999,2688.35043090,28,7.97849000,2356.49414940
2020-09-23 02:00:00,294.80000000,295.02000000,294.52000000,294.58000000,3.97568000,1600822799999,1172.14630180,13,3.53178000,1041.39836650
2020-09-23 03:00:00,295.44000000,295.61000000,294.74000000,295.11000000,5.56948000,1600826399999,1644.63467950,24,4.68826000,1384.82517280
2020-09-23 04:00:00,295.50000000,295.86000000,294.69000000,294.69000000,6.90604000,1600829999999,2038.95793800,10,4.28510000,1266.13199160
2020-09-23 05:00:00,294.21000000,294.21000000,293.49000000,293.49000000,11.54413000,1600833599999,3392.53829740,12,8.03204000,2360.47644160
2020-09-23 06:00:00,293.37000000,293.37000000,292.05000000,292.05000000,28.68210000,1600837199999,8391.83201680,36,3.87852000,1136.32176760
2020-09-23 07:00:00,292.05000000,294.00000000,291.46000000,293.23000000,17.27244000,1600840799999,5065.04785390,48,11.02259000,3232.12007570
2020-09-23 08:00:00,292.57000000,292.57000000,290.54000000,290.98000000,42.24076000,1600844399999,12319.05764950,75,37.42087000,10916.95579870
2020-09-23 09:00:00,290.73000000,291.48000000,286.68000000,288.49000000,180.61033000,1600847999999,52057.30317220,175,118.07526000,34025.70310240
2020-09-23 10:00:00,288.08000000,289.89000000,287.64000000,289.27000000,71.45766000,1600851599999,20637.63649950,89,56.89497000,16435.82069910
2020-09-23 11:00:00,289.27000000,291.27000000,289.10000000,290.69000000,66.59539000,1600855199999,19286.08932360,83,57.18425000,16556.84245760
2020-09-23 12:00:00,291.20000000,291.20000000,289.41000000,290.44000000,14.98070000,1600858799999,4348.09148670,51,10.26573000,2981.71374540
2020-09-23 13:00:00,291.00000000,292.36000000,290.45000000,291.08000000,44.71584000,1600862399999,13027.50898920,96,33.95705000,9898.43560770
2020-09-23 14:00:00,291.50000000,293.81000000,290.50000000,293.81000000,36.19591000,1600865999999,10595.17066080,85,24.94752000,7312.76229080
2020-09-23 15:00:00,293.24000000,295.21000000,292.59000000,294.20000000,51.52222000,1600869599999,15155.72906020,77,36.91090000,10864.03424010
2020-09-23 16:00:00,293.60000000,293.79000000,292.00000000,292.45000000,40.56048000,1600873199999,11869.01432510,75,13.57729000,3977.38566920
2020-09-23 17:00:00,292.40000000,292.71000000,290.91000000,291.65000000,58.39908000,1600876799999,17049.99532120,84,23.61883000,6899.90564580
2020-09-23 18:00:00,291.01000000,292.98000000,291.01000000,292.55000000,34.55215000,1600880399999,10096.81184730,70,27.28791000,7975.87234300
2020-09-23 19:00:00,292.54000000,293.50000000,291.25000000,291.25000000,132.09638000,1600883999999,38604.42792060,122,36.26969000,10605.76098700
2020-09-23 20:00:00,290.42000000,291.09000000,288.45000000,288.45000000,116.73239000,1600887599999,33867.04449420,138,89.57978000,26001.61260020
2020-09-23 21:00:00,289.23000000,289.23000000,281.00000000,282.56000000,261.02053000,1600891199999,74053.65007960,321,145.16178000,41167.95294380
2020-09-23 22:00:00,282.22000000,283.59000000,270.62000000,277.99000000,480.01431000,1600894799999,132734.65809340,487,214.60504000,59154.28128090
2020-09-23 23:00:00,278.23000000,281.86000000,276.25000000,278.00000000,256.87899000,1600898399999,71668.60819730,167,118.82128000,33168.69649020
2020-09-24 00:00:00,278.00000000,279.57000000,276.37000000,279.57000000,58.03032000,1600901999999,16119.75130050,95,34.17828000,9500.16020220
2020-09-24 01:00:00,279.57000000,279.57000000,274.49000000,276.31000000,44.52235000,1600905599999,12291.41348600,77,30.46240000,8419.58254870
2020-09-24 02:00:00,275.48000000,278.26000000,273.14000000,277.85000000,68.62482000,1600909199999,18866.98904120,75,11.59927000,3207.36608830
2020-09-24 03:00:00,277.85000000,279.35000000,277.85000000,278.68000000,6.22535000,1600912799999,1737.51545770,15,4.47111000,1248.10004010
2020-09-24 04:00:00,279.60000000,280.69000000,278.81000000,279.23000000,35.48775000,1600916399999,9917.37792180,43,19.38265000,5420.59526980
2020-09-24 05:00:00,279.37000000,281.02000000,279.36000000,280.23000000,58.95517000,1600919999999,16551.33491630,26,58.95517000,16551.33491630
2020-09-24 06:00:00,280.42000000,281.40000000,279.14000000,279.14000000,32.82876000,1600923599999,9207.95193010,32,23.27838000,6531.85777600
2020-09-24 07:00:00,279.31000000,280.69000000,279.31000000,279.76000000,25.26988000,1600927199999,7069.65465950,31,18.64064000,5216.80940740
2020-09-24 08:00:00,280.63000000,281.30000000,279.34000000,279.40000000,75.98547000,1600930799999,21300.60622380,80,27.66408000,7763.39585200
2020-09-24 09:00:00,279.29000000,283.00000000,279.29000000,282.61000000,60.71291000,1600934399999,17063.27786160,87,41.15358000,11564.46988170
2020-09-24 10:00:00,283.20000000,283.21000000,280.95000000,281.81000000,61.48486000,1600937999999,17334.97276810,104,47.27447000,13329.44486220
2020-09-24 11:00:00,281.50000000,284.75000000,280.30000000,283.75000000,67.60028000,1600941599999,19046.77392590,97,41.66411000,11747.17372380
2020-09-24 12:00:00,283.80000000,287.59000000,282.62000000,287.59000000,167.48579000,1600945199999,47580.74678410,141,84.14742000,23963.29354180
2020-09-24 13:00:00,287.58000000,293.50000000,287.08000000,291.96000000,301.93152000,1600948799999,87784.74818530,214,217.50332000,63253.30145390
2020-09-24 14:00:00,292.25000000,292.88000000,289.24000000,289.82000000,171.43128000,1600952399999,49829.22116270,164,91.75058000,26681.33391280
2020-09-24 15:00:00,289.20000000,291.23000000,287.46000000,290.90000000,125.02893000,1600955999999,36162.55493390,125,72.14429000,20851.87495090
2020-09-24 16:00:00,290.91000000,292.50000000,289.73000000,291.62000000,181.96080000,1600959599999,52968.71020240,188,68.81184000,20078.02227680
2020-09-24 17:00:00,291.43000000,297.12000000,291.21000000,296.06000000,327.09476000,1600963199999,96349.96158580,258,223.56599000,65815.29523680
2020-09-24 18:00:00,296.87000000,300.59000000,295.52000000,298.22000000,234.96928000,1600966799999,70073.57151420,353,143.18501000,42729.83683790
2020-09-24 19:00:00,298.50000000,299.34000000,297.06000000,297.77000000,165.59633000,1600970399999,49390.87114520,173,46.81098000,13980.10265840
2020-09-24 20:00:00,298.62000000,299.57000000,296.11000000,296.11000000,66.60988000,1600973999999,19877.80430460,121,27.90992000,8319.14752000
2020-09-24 21:00:00,296.69000000,298.37000000,295.48000000,297.70000000,134.79955000,1600977599999,40075.85290140,118,59.45725000,17696.86764990
2020-09-24 22:00:00,297.70000000,299.33000000,297.06000000,297.56000000,146.59042000,1600981199999,43684.68613410,127,50.59550000,15117.10412770
2020-09-24 23:00:00,297.18000000,297.94000000,296.07000000,297.78000000,37.16219000,1600984799999,11045.36850690,79,33.66414000,10008.08312590
2020-09-25 00:00:00,297.00000000,302.93000000,296.88000000,301.42000000,113.85965000,1600988399999,34259.34020850,143,94.39047000,28396.63155430
2020-09-25 01:00:00,301.25000000,301.40000000,299.46000000,299.46000000,45.80328000,1600991999999,13747.85274850,58,9.13979000,2745.53887770
2020-09-25 02:00:00,300.34000000,300.34000000,298.02000000,298.36000000,20.87229000,1600995599999,6244.87573540,37,3.22131000,963.17978090
2020-09-25 03:00:00,298.76000000,299.09000000,297.22000000,297.22000000,5.51763000,1600999199999,1644.76190630,22,2.70195000,806.23641350
2020-09-25 04:00:00,297.22000000,298.18000000,297.22000000,297.92000000,19.44589000,1601002799999,5790.40646000,31,6.79389000,2023.98042150
2020-09-25 05:00:00,297.97000000,298.49000000,296.17000000,296.17000000,8.94609000,1601006399999,2660.48434680,15,8.13074000,2418.51187450
2020-09-25 06:00:00,296.17000000,297.30000000,295.55000000,296.43000000,4.63479000,1601009999999,1373.46712560,20,2.32609000,690.47863700
2020-09-25 07:00:00,296.08000000,296.19000000,292.98000000,292.98000000,62.70634000,1601013599999,18481.78736330,111,46.91842000,13827.36131420
2020-09-25 08:00:00,293.21000000,296.19000000,292.82000000,296.19000000,20.26980000,1601017199999,5963.36280580,61,13.18527000,3878.99667340
2020-09-25 09:00:00,296.32000000,296.81000000,294.75000000,295.50000000,72.77637000,1601020799999,21515.81333950,97,36.86296000,10907.94869960
2020-09-25 10:00:00,294.78000000,294.91000000,291.00000000,291.59000000,132.12873000,1601024399999,38646.50777970,181,54.29819000,15878.11010000
2020-09-25 11:00:00,292.82000000,293.70000000,290.20000000,293.40000000,314.19656000,1601027999999,91711.70346820,219,81.76014000,23949.51435480
2020-09-25 12:00:00,293.54000000,295.22000000,292.94000000,293.80000000,75.63207000,1601031599999,22229.64050700,117,30.23363000,8901.61066580
2020-09-25 13:00:00,293.80000000,297.68000000,292.77000000,296.92000000,94.38509000,1601035199999,27990.58734760,130,35.28509000,10461.31669890
2020-09-25 14:00:00,296.90000000,300.32000000,296.58000000,297.10000000,249.05439000,1601038799999,74272.23061850,202,196.37140000,58573.75143340
2020-09-25 15:00:00,297.26000000,298.53000000,295.93000000,296.57000000,146.16035000,1601042399999,43493.94852870,190,86.66438000,25783.26246520
2020-09-25 16:00:00,296.60000000,298.45000000,293.90000000,298.28000000,155.05710000,1601045999999,46010.94882640,146,97.12794000,28922.00860110
2020-09-25 17:00:00,298.75000000,300.44000000,297.75000000,299.33000000,95.69004000,1601049599999,28645.00656080,133,43.51922000,13042.11836110
2020-09-25 18:00:00,300.27000000,300.84000000,298.49000000,299.50000000,48.52798000,1601053199999,14534.31621030,85,9.70283000,2908.46710810
2020-09-25 19:00:00,300.29000000,302.44000000,300.00000000,302.43000000,106.10577000,1601056799999,31978.82255020,135,76.23028000,22975.74490860
2020-09-25 20:00:00,302.37000000,306.72000000,302.37000000,305.35000000,87.14451000,1601060399999,26564.15573700,146,66.91957000,20404.29422920
2020-09-25 21:00:00,306.02000000,306.63000000,304.63000000,306.06000000,28.13385000,1601063999999,8595.62222870,85,18.02773000,5509.78043850
2020-09-25 22:00:00,305.31000000,309.47000000,305.30000000,306.17000000,87.39473000,1601067599999,26878.55726030,136,54.93922000,16901.74617680
2020-09-25 23:00:00,306.17000000,308.24000000,304.66000000,307.57000000,97.49459000,1601071199999,29806.62012650,105,60.97004000,18671.56152530
